,driver,track,sprint,year,points
bahrain 2024,per,bah,0,1,176
,sai,bah,0,1,164
,ver,bah,0,1,164
,lec,bah,0,1,157
,rus,bah,0,1,152
,nor,bah,0,1,140
,ham,bah,0,1,136
,alo,bah,0,1,132
,zho,bah,0,1,130
,pia,bah,0,1,127
,str,bah,0,1,121
,mag,bah,0,1,121
,ric,bah,0,1,105
,tsu,bah,0,1,103
,alb,bah,0,1,101
,hul,bah,0,1,99
,oco,bah,0,1,86
,gas,bah,0,1,79
,bot,bah,0,1,78
,sar,bah,0,1,71
,red,bah,0,1,174
,fer,bah,0,1,166
,mer,bah,0,1,150
,mcl,bah,0,1,143
,ast,bah,0,1,130
,rac,bah,0,1,107
,haa,bah,0,1,105
,kic,bah,0,1,93
,wil,bah,0,1,85
,alp,bah,0,1,77
jeddah 2024,per,jed,0,1,174
,lec,jed,0,1,168
,alo,jed,0,1,165
,ver,jed,0,1,164
,pia,jed,0,1,162
,rus,jed,0,1,140
,sai,jed,0,1,138
,hul,jed,0,1,133
,nor,jed,0,1,131
,ham,jed,0,1,124
,alb,jed,0,1,119
,mag,jed,0,1,114
,oco,jed,0,1,111
,tsu,jed,0,1,106
,sar,jed,0,1,104
,ric,jed,0,1,91
,bot,jed,0,1,86
,zho,jed,0,1,79
,str,jed,0,1,78
,gas,jed,0,1,59
,red,jed,0,1,176
,fer,jed,0,1,153
,mcl,jed,0,1,151
,mer,jed,0,1,141
,ast,jed,0,1,124
,haa,jed,0,1,114
,wil,jed,0,1,105
,rac,jed,0,1,101
,alp,jed,0,1,85
,kic,jed,0,1,80
australia 2024,sai,alb,0,1,185
,lec,alb,0,1,172
,nor,alb,0,1,161
,per,alb,0,1,160
,pia,alb,0,1,158
,str,alb,0,1,151
,tsu,alb,0,1,150
,hul,alb,0,1,140
,mag,alb,0,1,133
,alo,alb,0,1,131
,alb,alb,0,1,115
,ric,alb,0,1,115
,gas,alb,0,1,108
,rus,alb,0,1,104
,bot,alb,0,1,103
,zho,alb,0,1,96
,ver,alb,0,1,96
,oco,alb,0,1,89
,ham,alb,0,1,82
,sar,alb,0,1,0
,fer,alb,0,1,173
,mcl,alb,0,1,162
,ast,alb,0,1,139
,red,alb,0,1,134
,rac,alb,0,1,122
,haa,alb,0,1,118
,mer,alb,0,1,98
,kic,alb,0,1,96
,alp,alb,0,1,96
japan 2024,red,suz,0,1,177
,fer,suz,0,1,160
,mcl,suz,0,1,151
,mer,suz,0,1,138
,ast,suz,0,1,129
,haa,suz,0,1,108
,rac,suz,0,1,107
,alp,suz,0,1,92
,kic,suz,0,1,89
,wil,suz,0,1,79
,ver,suz,0,1,168
,per,suz,0,1,163
,sai,suz,0,1,159
,lec,suz,0,1,155
,nor,suz,0,1,150
,alo,suz,0,1,150
,rus,suz,0,1,138
,pia,suz,0,1,131
,tsu,suz,0,1,127
,ham,suz,0,1,126
,hul,suz,0,1,119
,str,suz,0,1,111
,mag,suz,0,1,109
,bot,suz,0,1,108
,oco,suz,0,1,94
,gas,suz,0,1,88
,sar,suz,0,1,86
,ric,suz,0,1,76
,zho,suz,0,1,67
,alb,suz,0,1,67
china 2024,ver,sha,1,1,188
,nor,sha,1,1,188
,per,sha,1,1,176
,lec,sha,1,1,168
,sai,sha,1,1,160
,rus,sha,1,1,158
,alo,sha,1,1,151
,ham,sha,1,1,150
,pia,sha,1,1,147
,hul,sha,1,1,132
,oco,sha,1,1,126
,alb,sha,1,1,120
,zho,sha,1,1,118
,gas,sha,1,1,110
,str,sha,1,1,107
,mag,sha,1,1,99
,ric,sha,1,1,95
,sar,sha,1,1,88
,bot,sha,1,1,87
,tsu,sha,1,1,68
,red,sha,1,1,175
,mcl,sha,1,1,157
,fer,sha,1,1,155
,mer,sha,1,1,130
,ast,sha,1,1,128
,alp,sha,1,1,110
,haa,sha,1,1,108
,wil,sha,1,1,94
,kic,sha,1,1,92
,rac,sha,1,1,81
Miami 2024,red,mia,1,1,169
,fer,mia,1,1,165
,mcl,mia,1,1,147
,mer,mia,1,1,143
,alp,mia,1,1,117
,rac,mia,1,1,114
,ast,mia,1,1,108
,haa,mia,1,1,98
,kic,mia,1,1,90
,wil,mia,1,1,79
,nor,mia,1,1,187
,ver,mia,1,1,183
,lec,mia,1,1,179
,tsu,mia,1,1,168
,per,mia,1,1,165
,sai,mia,1,1,164
,ham,mia,1,1,152
,alo,mia,1,1,140
,hul,mia,1,1,140
,rus,mia,1,1,138
,oco,mia,1,1,132
,pia,mia,1,1,131
,gas,mia,1,1,121
,zho,mia,1,1,117
,ric,mia,1,1,112
,str,mia,1,1,96
,alb,mia,1,1,95
,bot,mia,1,1,94
,mag,mia,1,1,75
,sar,mia,1,1,75
Bahrain 2023,alo,bah,0,0,172
,sai,bah,0,0,168
,ver,bah,0,0,166
,per,bah,0,0,159
,str,bah,0,0,155
,bot,bah,0,0,151
,ham,bah,0,0,146
,gas,bah,0,0,141
,rus,bah,0,0,134
,sar,bah,0,0,131
,alb,bah,0,0,130
,tsu,bah,0,0,123
,mag,bah,0,0,110
,ric,bah,0,0,106
,hul,bah,0,0,102
,lec,bah,0,0,98
,nor,bah,0,0,96
,zho,bah,0,0,93
,oco,bah,0,0,89
,pia,bah,0,0,59
,red,bah,0,0,177
,ast,bah,0,0,155
,mer,bah,0,0,149
,fer,bah,0,0,133
,kic,bah,0,0,113
,wil,bah,0,0,111
,rac,bah,0,0,103
,haa,bah,0,0,103
,alp,bah,0,0,103
,mcl,bah,0,0,83
jeddah 2023,alo,jed,0,0,180
,ver,jed,0,0,170
,per,jed,0,0,168
,rus,jed,0,0,151
,ham,jed,0,0,145
,sai,jed,0,0,143
,lec,jed,0,0,142
,oco,jed,0,0,135
,mag,jed,0,0,131
,gas,jed,0,0,123
,tsu,jed,0,0,123
,hul,jed,0,0,115
,zho,jed,0,0,109
,pia,jed,0,0,106
,ric,jed,0,0,105
,sar,jed,0,0,97
,str,jed,0,0,86
,bot,jed,0,0,85
,nor,jed,0,0,84
,alb,jed,0,0,70
,red,jed,0,0,164
,mer,jed,0,0,156
,fer,jed,0,0,153
,alp,jed,0,0,135
,ast,jed,0,0,131
,haa,jed,0,0,118
,rac,jed,0,0,102
,kic,jed,0,0,98
,mcl,jed,0,0,94
,wil,jed,0,0,79
australia 2023,ham,alb,0,0,176
,ver,alb,0,0,169
,str,alb,0,0,169
,hul,alb,0,0,168
,alo,alb,0,0,167
,per,alb,0,0,157
,nor,alb,0,0,155
,pia,alb,0,0,144
,zho,alb,0,0,144
,tsu,alb,0,0,130
,sai,alb,0,0,129
,bot,alb,0,0,124
,gas,alb,0,0,112
,oco,alb,0,0,103
,rus,alb,0,0,100
,sar,alb,0,0,95
,ric,alb,0,0,94
,mag,alb,0,0,88
,alb,alb,0,0,82
,lec,alb,0,0,81
,ast,alb,0,0,162
,red,alb,0,0,153
,mer,alb,0,0,141
,mcl,alb,0,0,129
,haa,alb,0,0,114
,alp,alb,0,0,112
,kic,alb,0,0,110
,fer,alb,0,0,110
,rac,alb,0,0,109
,wil,alb,0,0,90
baku 2023,per,bak,1,0,170
,lec,bak,1,0,167
,ver,bak,1,0,157
,alo,bak,1,0,157
,sai,bak,1,0,153
,str,bak,1,0,143
,ham,bak,1,0,141
,tsu,bak,1,0,133
,nor,bak,1,0,132
,rus,bak,1,0,130
,alb,bak,1,0,119
,pia,bak,1,0,116
,mag,bak,1,0,114
,gas,bak,1,0,104
,oco,bak,1,0,98
,sar,bak,1,0,91
,bot,bak,1,0,87
,hul,bak,1,0,82
,zho,bak,1,0,72
,ric,bak,1,0,55
,red,bak,1,0,175
,fer,bak,1,0,165
,ast,bak,1,0,149
,mer,bak,1,0,142
,mcl,bak,1,0,129
,wil,bak,1,0,102
,rac,bak,1,0,98
,alp,bak,1,0,97
,haa,bak,1,0,91
,kic,bak,1,0,82
miami 2023,per,mia,0,0,161
,lec,mia,0,0,132
,ver,mia,0,0,172
,alo,mia,0,0,168
,sai,mia,0,0,152
,str,mia,0,0,113
,ham,mia,0,0,144
,tsu,mia,0,0,125
,nor,mia,0,0,86
,rus,mia,0,0,155
,alb,mia,0,0,108
,pia,mia,0,0,72
